name,time,AccX,AccY,AccZ,MagX,MagY,MagZ,deposit,gas,id,latitude,longitude,temperature
vehicledataset,1636543329643000000,0.019531846,0.15405744,0.97500534,-1,-18,67,0,0,1,41.797,1.9511167,28.221375
vehicledataset,1636543330643000000,-0.070192572,0.15637684,1.3248695,1,-22,69,0,0,1,41.797,1.9511167,28.077606
vehicledataset,1636543331643000000,-0.2882168,0.054200873,1.1550645,0,-18,71,0,0,1,41.796883,1.9508667,28.17345
vehicledataset,1636543332643000000,-0.019165624,0.060182501,1.1667837,-1,-18,73,0,0,1,41.796883,1.9508667,28.221375
vehicledataset,1636543333643000000,0.0039063692,0.1866512,1.1103854,1,-20,69,0,0,1,41.79675,1.9506333,28.365143
vehicledataset,1636543334643000000,-0.11181982,0.25794244,0.97463912,0,-19,72,0,0,1,41.79675,1.9506333,28.365143
vehicledataset,1636543335643000000,-0.035645619,0.12170782,1.2056032,-1,-22,74,0,0,1,41.796667,1.9504167,28.221375
vehicledataset,1636543336643000000,-0.1109653,0.23303934,0.58595538,1,-19,77,0,0,1,41.796667,1.9504167,28.077606
vehicledataset,1636543337643000000,-0.26013977,0.10925626,1.4449904,3,-22,72,0,0,1,41.796583,1.9502167,28.317219
vehicledataset,1636543338643000000,0.49501022,0.25098422,0.23474837,-1,-17,72,0,0,1,41.796583,1.9502167,28.365143
vehicledataset,1636543339643000000,0.071779534,0.070802942,0.61964782,-2,-19,67,0,0,1,41.796483,1.9500667,28.317219
vehicledataset,1636543340643000000,-0.05261391,-0.061647389,1.1213721,3,-19,71,0,0,1,41.796483,1.9500667,28.317219
vehicledataset,1636543341643000000,0.052858058,0.20728172,0.74709311,2,-19,73,0,0,1,41.796417,1.9499167,28.556833
vehicledataset,1636543342643000000,-0.16626484,-0.14685507,1.0910978,-2,-19,73,0,0,1,41.79635,1.9497333,28.365143
vehicledataset,1636543343643000000,-0.10425123,0.16040529,0.99746696,-3,-20,74,0,0,1,41.79635,1.9497333,28.365143
vehicledataset,1636543344643000000,-0.1838435,0.038331248,0.85793634,0,-16,67,0,0,1,41.796267,1.9495833,28.365143
vehicledataset,1636543345643000000,0.029419843,0.19080172,1.0034486,-1,-20,72,0,0,1,41.796267,1.9495833,28.556833
vehicledataset,1636543346643000000,-0.14966277,0.1716361,1.1123386,-1,-17,75,0,0,1,41.796167,1.9494167,28.508911
vehicledataset,1636543347643000000,-0.22840052,-0.06469924,0.98110904,-2,-19,73,0,0,1,41.796167,1.9494167,28.317219
vehicledataset,1636543348643000000,-0.27100436,0.075930052,0.81875057,1,-22,71,0,0,1,41.79605,1.94925,28.413065
vehicledataset,1636543349643000000,-0.091555528,0.069338054,1.2460097,2,-15,75,0,0,1,41.79605,1.94925,28.317219
vehicledataset,1636543350643000000,-0.25684378,0.33777886,0.90591144,-1,-17,73,0,0,1,41.795967,1.9490833,28.365143
vehicledataset,1636543351643000000,-0.22363964,0.14075137,1.131016,-2,-19,75,0,0,1,41.795967,1.9490833,28.508911
